Country Name,Country Code,JO Year,PIB_mean
Île de Man,IMN,2016,84793.95847296607
Inde,IND,2016,1500.012022538325
Non classifié,INX,2016,
Irlande,IRL,2016,55905.258420444196
"Iran, République islamique d’",IRN,2016,6240.40505775175
Iraq,IRQ,2016,5954.370792324215
Islande,ISL,2016,50832.23930063253
Israël,ISR,2016,36228.0387517645
Italie,ITA,2016,34306.07548045305
Jamaïque,JAM,2016,5125.763787818568
Jordanie,JOR,2016,4178.665287375492
Japon,JPN,2016,40869.990739454006
Kazakhstan,KAZ,2016,12030.27209092585
Kenya,KEN,2016,1406.9548685423802
République kirghize,KGZ,2016,1202.116027019865
Cambodge,KHM,2016,1369.3366992072974
Kiribati,KIR,2016,1748.0496627244347
Saint-Kitts-et-Nevis,KNA,2016,19165.0954681652
"Corée, République de",KOR,2016,27657.2640807717
Koweït,KWT,2016,44014.315144185624
Amérique latine et Caraïbes (hors revenu élevé),LAC,2016,9501.863584081519
République démocratique populaire lao,LAO,2016,1869.5338303396425
Liban,LBN,2016,7965.27866995311
Libéria,LBR,2016,687.1044737014275
Libye,LBY,2016,10828.128403898496
Sainte-Lucie,LCA,2016,9804.331330805055
Amérique latine et Caraïbes,LCN,2016,10043.65670179295
Pays les moins avancés: classement de l’ONU,LDC,2016,980.54025318396
Faible revenu,LIC,2016,766.4806195877968
Liechtenstein,LIE,2016,166896.9883174295
Sri Lanka,LKA,2016,3774.50674590782
"Revenu intermédiaire, tranche inférieure",LMC,2016,1794.4478547271601
Revenu faible et intermédiaire,LMY,2016,4301.780721377015
Lesotho,LSO,2016,1165.9260942421975
de dividende tardif démographique,LTE,2016,8488.164236453707
Lituanie,LTU,2016,15160.169828478425
Luxembourg,LUX,2016,115431.38293212875
Lettonie,LVA,2016,14080.402854159476
"Région administrative spéciale de Macao, Chine",MAC,2016,80375.62549820644
Saint-Martin (fr),MAF,2016,20638.765189511
Maroc,MAR,2016,3281.3937988281277
Monaco,MCO,2016,179128.99677766103
Moldova,MDA,2016,3101.34034166746
Madagascar,MDG,2016,489.95443606251155
Maldives,MDV,2016,8570.33988307513
